Specify the design of the VTS experiment whereby:
 - onsets = list describing the onsets of stimulations in sec
 - outputlist = array of which outputs need to be used at each onset (if more than one output used per onset put a comma between and seperate via semicolon)
 - amplitude = list describing the amplitude per onset
 - frequency = list describing frequency per onset in Hz
 - ondur = on duration of vibration in a stimulus in sec
 - offdur = off duration between vibration within a stimulus in sec
 - stimdur = total duration of the whole stimulus (needs to add up ondur and offdur couple of times) 

onsets 	| outputs       | amplitude	| frequency     | ondur		|offdur	|stimdur
5.309    1,2,3,4,5;        2;          110;           0.2;     0.4;     1.2;
7.948    1,2,3,4,5;        2;          110;            0.2;     0.05;	0.5;
71.962;    1,2,3,4,5;        2;          110;           0.2;	0.8;	2.0;		
74.561;    1,2,3,4,5;        2;          110;           0.05;	0.0;	0.05;
76.821;    1,2,3,4,5;       2;          110;    		0.8;	0.0;	0.8;	
79.108;    1,2,3,4,5;        2;          110;          0.2;     0.4;	1.2;
81.485;    1,2,3,4,5;        2;          110;    		0.2;	0.1;	0.6;
83.939;    1,2,3,4,5;        2;          110;    		0.2;	0.05;	0.5;
86.592;    1,2,3,4,5;        2;          110;           0.2;	1.2;	2.8;
89.057;    1,2,3,4,5;        2;          110;   		0.1;	0.0;	0.1;
91.504;    1,2,3,4,5;        2;          110;   		0.1;	0.0;	0.1;
97.004;    1,2,3,4,5;        2;          110;   		0.8;	0.0;	0.8;
99.239;    1,2,3,4,5;        2;          110;   		0.1;	0.0;	0.1;
101.748;   1,2,3,4,5;        2;          110;           0.2;	1.2;	2.8;  
104.340;    1,2,3,4,5;        2;          110;    		0.2;	0.8;	2.0;
106.636;    1,2,3,4,5;        2;          110;    		0.2;	0.1;	0.6;
108.990;   1,2,3,4,5;        2;          110;            0.2;	0.4;	1.2;
111.470;    1,2,3,4,5;        2;          110;   		1.2;	0.0;	1.2;
113.771;    1,2,3,4,5;        2;          110;    		0.4;	0.0;	0.4;	
116.468;    1,2,3,4,5;        2;          110;  		0.2;	0.2;	0.8;
118.787;    1,2,3,4,5;        2;          110;    		0.2;	0.1;	0.6;
121.190;    1,2,3,4,5;        2;          110;   		0.1;	0.0;	0.1;
123.441;    1,2,3,4,5;        2;          110;       	0.2;	0.0;	0.2;
125.992;   1,2,3,4,5;        2;          110;          0.2;	0.4;	1.2;
128.394;    1,2,3,4,5;        2;          110;   		0.4;	0.0;	0.4;
131.074;   	1,2,3,4,5;        2;          110;   		1.2;	0.0;	1.2;
133.332;    1,2,3,4,5;        2;          110;    		0.2;	0.1;	0.6;
135.935;    1,2,3,4,5;        2;          110;       	0.2;	0.0;	0.2;
138.586;    1,2,3,4,5;        2;          110;     		0.05;	0.0;	0.05;
140.931;    1,2,3,4,5;        2;            110;          0.8;	0.0;	0.8; 	
143.365;    1,2,3,4,5;        2;          110;           0.2;	0.0;	0.2;
146.066;   	1,2,3,4,5;        2;          110;          0.2;	0.4;	1.2;
148.699;   1,2,3,4,5;        2;          110;  			0.2;	0.2;	0.8;
151.026;    1,2,3,4,5;        2;          110;    		0.8;	0.0;	0.8;	
153.460;   1,2,3,4,5;        2;          110;           0.2;	0.2;	0.8;
155.861;    1,2,3,4,5;        2;          110;      	0.2;	1.2;	2.8;
158.388;    1,2,3,4,5;        2;          110;      	0.2;	1.2;	2.8;
160.606;    1,2,3,4,5;        2;          110;      	0.2;	0.8;	2.0;	
163.063;   1,2,3,4,5;        2;          110;   		0.2;	0.05;	0.5;
165.646;   1,2,3,4,5;        2;          110;   		0.2;	0.05;	0.5;
167.950;    1,2,3,4,5;        2;          110;     		0.05;	0.0;	0.05;
170.509;   1,2,3,4,5;        2;          110;   		0.4;	0.0;	0.4;
173.008;   1,2,3,4,5;        2;          110;     		0.05;	0.0;	0.05;
175.647;   1,2,3,4,5;        2;         110;   			0.2;	0.05;	0.5;
178.298;   	1,2,3,4,5;        2;          110;      	0.2;	0.8;	2.0;
180.649;  	1,2,3,4,5;        2;          110;   		1.2;	0.0;	1.2;
183.146;    1,2,3,4,5;        2;          110;   		0.1;	0.0;	0.1;
